,,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt,Corner 3,Corner 3,Corner 3,SEASON
TEAM_ID,TEAM_NAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,
1610612763,Memphis Grizzlies,1371,2259,0.607,581,1390,0.418,765,1927,0.397,56,164,0.341,64,161,0.398,284,805,0.353,1,17,0.059,120,325,0.369,2013-14
1610612748,Miami Heat,1523,2241,0.68,329,702,0.469,625,1499,0.417,122,302,0.404,176,395,0.446,366,1128,0.324,1,5,0.2,298,697,0.428,2013-14
1610612749,Milwaukee Bucks,1326,2351,0.564,361,978,0.369,717,1854,0.387,62,158,0.392,49,145,0.338,437,1244,0.351,0,5,0.0,111,303,0.366,2013-14
1610612750,Minnesota Timberwolves,1587,2655,0.598,353,905,0.39,649,1858,0.349,85,254,0.335,48,147,0.327,465,1340,0.347,1,14,0.071,133,401,0.332,2013-14
1610612740,New Orleans Pelicans,1457,2561,0.569,409,1076,0.38,749,1821,0.411,59,154,0.383,60,158,0.38,367,971,0.378,0,20,0.0,119,312,0.381,2013-14
1610612752,New York Knicks,1128,1890,0.597,247,662,0.373,893,2147,0.416,94,249,0.378,77,182,0.423,588,1588,0.37,0,21,0.0,171,431,0.397,2013-14
1610612760,Oklahoma City Thunder,1342,2116,0.634,386,939,0.411,802,1887,0.425,87,252,0.345,70,195,0.359,507,1375,0.369,0,17,0.0,157,447,0.351,2013-14
1610612753,Orlando Magic,1203,2062,0.583,360,950,0.379,896,2176,0.412,106,295,0.359,58,163,0.356,398,1122,0.355,0,14,0.0,164,458,0.358,2013-14
1610612755,Philadelphia 76ers,1640,2888,0.568,390,1083,0.36,501,1332,0.376,70,220,0.318,51,147,0.347,453,1465,0.309,3,13,0.231,121,367,0.33,2013-14
1610612756,Phoenix Suns,1370,2188,0.626,358,931,0.385,679,1671,0.406,122,272,0.449,108,298,0.362,534,1467,0.364,0,16,0.0,230,570,0.404,2013-14
1610612757,Portland Trail Blazers,1222,2021,0.605,323,873,0.37,892,2167,0.412,133,304,0.438,75,238,0.315,562,1521,0.369,0,10,0.0,208,542,0.384,2013-14
1610612758,Sacramento Kings,1297,2089,0.621,506,1323,0.382,732,1879,0.39,64,169,0.379,50,139,0.36,376,1159,0.324,1,8,0.125,114,308,0.37,2013-14
1610612759,San Antonio Spurs,1433,2213,0.648,450,1027,0.438,745,1847,0.403,123,291,0.423,96,244,0.393,479,1210,0.396,0,11,0.0,219,535,0.409,2013-14
1610612761,Toronto Raptors,1124,1851,0.607,469,1136,0.413,686,1814,0.378,124,305,0.407,85,223,0.381,502,1375,0.365,2,12,0.167,209,528,0.396,2013-14
1610612762,Utah Jazz,1305,2106,0.62,398,1064,0.374,705,1905,0.37,72,208,0.346,80,188,0.426,391,1158,0.338,0,21,0.0,152,396,0.384,2013-14
1610612764,Washington Wizards,1355,2107,0.643,337,909,0.371,838,2199,0.381,110,269,0.409,105,264,0.398,431,1156,0.373,1,14,0.071,215,533,0.403,2013-14
1610612737,Atlanta Hawks,1307,2153,0.607,391,956,0.409,605,1438,0.421,115,275,0.418,138,326,0.423,565,1548,0.365,0,3,0.0,253,601,0.421,2014-15
1610612738,Boston Celtics,1336,2233,0.598,377,962,0.392,820,1995,0.411,91,229,0.397,69,201,0.343,500,1573,0.318,0,16,0.0,160,430,0.372,2014-15
1610612751,Brooklyn Nets,1211,2054,0.59,638,1419,0.45,679,1698,0.4,104,257,0.405,77,216,0.356,360,1136,0.317,0,24,0.0,181,473,0.383,2014-15
1610612766,Charlotte Hornets,1089,1972,0.552,408,1050,0.389,918,2344,0.392,56,135,0.415,54,147,0.367,388,1268,0.306,0,16,0.0,110,282,0.39,2014-15
1610612741,Chicago Bulls,1322,2355,0.561,361,916,0.394,672,1700,0.395,83,224,0.371,78,183,0.426,483,1401,0.345,2,18,0.111,161,407,0.396,2014-15
1610612739,Cleveland Cavaliers,1338,2157,0.62,342,925,0.37,583,1403,0.416,124,342,0.363,120,323,0.372,580,1585,0.366,1,3,0.333,244,665,0.367,2014-15
1610612742,Dallas Mavericks,1411,2242,0.629,340,869,0.391,772,1842,0.419,106,263,0.403,87,227,0.383,538,1583,0.34,1,10,0.1,193,490,0.394,2014-15
1610612743,Denver Nuggets,1428,2415,0.591,414,1121,0.369,596,1589,0.375,84,260,0.323,83,233,0.356,493,1518,0.325,1,22,0.045,167,493,0.339,2014-15
1610612765,Detroit Pistons,1419,2490,0.57,416,1186,0.351,503,1319,0.381,100,249,0.402,102,266,0.383,501,1508,0.332,0,20,0.0,202,515,0.392,2014-15
1610612744,Golden State Warriors,1448,2234,0.648,408,1043,0.391,671,1643,0.408,102,250,0.408,128,258,0.496,653,1686,0.387,0,23,0.0,230,508,0.453,2014-15
1610612745,Houston Rockets,1428,2366,0.604,428,1054,0.406,243,731,0.332,156,414,0.377,196,485,0.404,581,1765,0.329,0,16,0.0,352,899,0.392,2014-15
1610612754,Indiana Pacers,1090,1890,0.577,432,1041,0.415,864,2153,0.401,98,253,0.387,83,219,0.379,431,1251,0.345,0,17,0.0,181,472,0.383,2014-15
1610612746,Los Angeles Clippers,1202,1847,0.651,332,781,0.425,867,2000,0.434,117,312,0.375,120,286,0.42,589,1591,0.37,0,10,0.0,237,598,0.396,2014-15
1610612747,Los Angeles Lakers,1288,2114,0.609,353,968,0.365,881,2392,0.368,57,143,0.399,58,148,0.392,417,1248,0.334,0,7,0.0,115,291,0.395,2014-15
1610612763,Memphis Grizzlies,1387,2276,0.609,546,1372,0.398,741,1868,0.397,67,174,0.385,60,161,0.373,294,891,0.33,2,21,0.095,127,335,0.379,2014-15
1610612748,Miami Heat,1248,2024,0.617,376,872,0.431,705,1776,0.397,86,263,0.327,116,278,0.417,353,1100,0.321,1,17,0.059,202,541,0.373,2014-15
1610612749,Milwaukee Bucks,1436,2446,0.587,320,856,0.374,782,1920,0.407,100,269,0.372,97,224,0.433,348,1003,0.347,0,4,0.0,197,493,0.4,2014-15
1610612750,Minnesota Timberwolves,1289,2154,0.598,405,1073,0.377,886,2370,0.374,62,172,0.36,39,105,0.371,304,933,0.326,0,12,0.0,101,277,0.365,2014-15
1610612740,New Orleans Pelicans,1500,2645,0.567,344,879,0.391,678,1688,0.402,86,191,0.45,74,197,0.376,425,1176,0.361,0,17,0.0,160,388,0.412,2014-15
1610612752,New York Knicks,1034,1842,0.561,334,881,0.379,954,2389,0.399,57,170,0.335,53,140,0.379,449,1288,0.349,1,16,0.063,110,310,0.355,2014-15
1610612760,Oklahoma City Thunder,1407,2386,0.59,435,1063,0.409,710,1805,0.393,93,243,0.383,84,225,0.373,454,1382,0.329,0,12,0.0,177,468,0.378,2014-15
1610612753,Orlando Magic,1384,2341,0.591,466,1190,0.392,672,1662,0.404,74,218,0.339,85,211,0.403,395,1159,0.341,0,11,0.0,159,429,0.371,2014-15
1610612755,Philadelphia 76ers,1394,2481,0.562,279,911,0.306,400,1225,0.327,79,232,0.341,60,175,0.343,553,1734,0.319,0,18,0.0,139,407,0.342,2014-15
1610612756,Phoenix Suns,1402,2260,0.62,352,902,0.39,726,1828,0.397,101,293,0.345,122,325,0.375,474,1412,0.336,1,18,0.056,223,618,0.361,2014-15
1610612757,Portland Trail Blazers,1206,1934,0.624,347,840,0.413,815,2044,0.399,126,315,0.4,95,253,0.375,583,1646,0.354,0,14,0.0,221,568,0.389,2014-15
1610612758,Sacramento Kings,1435,2374,0.604,414,1152,0.359,700,1741,0.402,69,179,0.385,82,229,0.358,310,930,0.333,0,12,0.0,151,408,0.37,2014-15
1610612759,San Antonio Spurs,1312,2119,0.619,533,1198,0.445,686,1690,0.406,112,274,0.409,116,267,0.434,449,1294,0.347,0,10,0.0,228,541,0.421,2014-15
1610612761,Toronto Raptors,1247,2011,0.62,515,1169,0.441,620,1589,0.39,134,330,0.406,92,231,0.398,500,1488,0.336,0,10,0.0,226,561,0.403,2014-15
1610612762,Utah Jazz,1389,2203,0.631,317,946,0.335,584,1563,0.374,94,237,0.397,94,264,0.356,421,1261,0.334,1,18,0.056,188,501,0.375,2014-15
1610612764,Washington Wizards,1348,2116,0.637,353,922,0.383,941,2371,0.397,68,208,0.327,76,184,0.413,353,977,0.361,0,12,0.0,144,392,0.367,2014-15
1610612737,Atlanta Hawks,1461,2422,0.603,317,806,0.393,573,1366,0.419,95,271,0.351,115,307,0.375,604,1736,0.348,1,12,0.083,210,578,0.363,2015-16
1610612738,Boston Celtics,1509,2507,0.602,373,1002,0.372,617,1667,0.37,96,254,0.378,82,255,0.322,539,1619,0.333,0,12,0.0,178,509,0.35,2015-16
1610612751,Brooklyn Nets,1291,2188,0.59,602,1389,0.433,712,1835,0.388,91,244,0.373,92,228,0.404,347,1021,0.34,0,13,0.0,183,472,0.388,2015-16
1610612766,Charlotte Hornets,1177,2028,0.58,363,893,0.406,623,1591,0.392,97,232,0.418,78,193,0.404,697,1975,0.353,1,9,0.111,175,425,0.412,2015-16
1610612741,Chicago Bulls,1288,2317,0.556,393,1027,0.383,833,2072,0.402,76,215,0.353,84,186,0.452,490,1337,0.366,1,16,0.063,160,401,0.399,2015-16
1610612739,Cleveland Cavaliers,1309,2055,0.637,372,938,0.397,610,1467,0.416,122,313,0.39,139,349,0.398,616,1756,0.351,1,5,0.2,261,662,0.394,2015-16
1610612742,Dallas Mavericks,1161,1871,0.621,397,953,0.417,700,1735,0.403,112,314,0.357,89,205,0.434,603,1803,0.334,0,17,0.0,201,519,0.387,2015-16
1610612743,Denver Nuggets,1526,2682,0.569,354,923,0.384,557,1454,0.383,87,242,0.36,58,182,0.319,508,1501,0.338,2,18,0.111,145,424,0.342,2015-16
1610612765,Detroit Pistons,1313,2232,0.588,470,1229,0.382,588,1478,0.398,92,280,0.329,118,291,0.405,529,1543,0.343,1,30,0.033,210,571,0.368,2015-16
1610612744,Golden State Warriors,1486,2338,0.636,344,887,0.388,582,1342,0.434,127,312,0.407,125,298,0.419,820,1956,0.419,2,22,0.091,252,610,0.413,2015-16
1610612745,Houston Rockets,1513,2472,0.612,362,942,0.384,341,899,0.379,135,354,0.381,150,445,0.337,592,1707,0.347,0,22,0.0,285,799,0.357,2015-16
1610612754,Indiana Pacers,1297,2094,0.619,378,886,0.427,804,2116,0.38,120,315,0.381,93,225,0.413,443,1321,0.335,0,13,0.0,213,540,0.394,2015-16
1610612746,LA Clippers,1226,1881,0.652,319,775,0.412,799,1913,0.418,114,282,0.404,107,246,0.435,563,1615,0.349,0,14,0.0,221,528,0.419,2015-16
1610612747,Los Angeles Lakers,1126,1999,0.563,438,1088,0.403,677,1854,0.365,72,222,0.324,58,181,0.32,505,1583,0.319,0,20,0.0,130,403,0.323,2015-16
1610612763,Memphis Grizzlies,1345,2386,0.564,459,1200,0.383,711,1752,0.406,76,221,0.344,60,202,0.297,364,1075,0.339,3,22,0.136,136,423,0.322,2015-16
1610612748,Miami Heat,1451,2222,0.653,453,1139,0.398,748,1856,0.403,90,282,0.319,113,287,0.394,292,892,0.327,1,15,0.067,203,569,0.357,2015-16
1610612749,Milwaukee Bucks,1625,2704,0.601,448,1105,0.405,632,1654,0.382,69,196,0.352,65,184,0.353,303,870,0.348,0,13,0.0,134,380,0.353,2015-16
1610612750,Minnesota Timberwolves,1398,2196,0.637,410,964,0.425,832,2160,0.385,67,175,0.383,42,110,0.382,345,1053,0.328,0,8,0.0,109,285,0.382,2015-16
1610612740,New Orleans Pelicans,1344,2324,0.578,355,939,0.378,752,1825,0.412,79,234,0.338,72,223,0.323,549,1478,0.371,1,12,0.083,151,457,0.33,2015-16
1610612752,New York Knicks,1078,1886,0.572,388,961,0.404,946,2277,0.415,101,234,0.432,70,185,0.378,438,1326,0.33,0,13,0.0,171,419,0.408,2015-16
1610612760,Oklahoma City Thunder,1534,2528,0.607,421,912,0.462,739,1696,0.436,106,293,0.362,102,291,0.351,470,1354,0.347,0,6,0.0,208,584,0.356,2015-16
1610612753,Orlando Magic,1352,2252,0.6,435,1051,0.414,819,2000,0.41,87,246,0.354,79,206,0.383,470,1341,0.35,0,21,0.0,166,452,0.367,2015-16
1610612755,Philadelphia 76ers,1419,2398,0.592,352,1018,0.346,435,1214,0.358,104,274,0.38,99,274,0.361,560,1693,0.331,1,14,0.071,203,548,0.37,2015-16
1610612756,Phoenix Suns,1368,2332,0.587,330,900,0.367,615,1668,0.369,84,246,0.341,95,247,0.385,558,1608,0.347,0,12,0.0,179,493,0.363,2015-16
1610612757,Portland Trail Blazers,1272,2200,0.578,330,846,0.39,701,1658,0.423,132,316,0.418,93,257,0.362,639,1748,0.366,0,11,0.0,225,573,0.393,2015-16
1610612758,Sacramento Kings,1561,2492,0.626,469,1260,0.372,593,1492,0.397,88,187,0.471,94,247,0.381,478,1389,0.344,0,15,0.0,182,434,0.419,2015-16
1610612759,San Antonio Spurs,1284,1974,0.65,502,1109,0.453,933,2196,0.425,77,214,0.36,91,229,0.397,401,1060,0.378,0,10,0.0,168,443,0.379,2015-16
1610612761,Toronto Raptors,1278,2147,0.595,449,1094,0.41,570,1512,0.377,132,338,0.391,104,240,0.433,472,1318,0.358,1,9,0.111,236,578,0.408,2015-16
1610612762,Utah Jazz,1277,2121,0.602,435,1093,0.398,551,1423,0.387,127,305,0.416,124,327,0.379,443,1302,0.34,0,22,0.0,251,632,0.397,2015-16
1610612764,Washington Wizards,1365,2195,0.622,373,895,0.417,791,1961,0.403,84,253,0.332,112,260,0.431,511,1449,0.353,1,14,0.071,196,513,0.382,2015-16
1610612737,Atlanta Hawks,1462,2441,0.599,290,783,0.37,642,1557,0.412,83,239,0.347,113,273,0.414,532,1608,0.331,0,12,0.0,196,512,0.383,2016-17
1610612738,Boston Celtics,1364,2237,0.61,349,836,0.417,470,1163,0.404,116,299,0.388,135,321,0.421,732,2098,0.349,0,20,0.0,251,620,0.405,2016-17
1610612751,Brooklyn Nets,1439,2435,0.591,443,1045,0.424,343,915,0.375,102,300,0.34,114,274,0.416,660,1995,0.331,0,21,0.0,216,574,0.376,2016-17
1610612766,Charlotte Hornets,1250,2092,0.598,385,946,0.407,634,1615,0.393,67,184,0.364,55,142,0.387,701,2003,0.35,1,16,0.063,122,326,0.374,2016-17
1610612741,Chicago Bulls,1306,2212,0.59,468,1091,0.429,772,2007,0.385,130,290,0.448,91,252,0.361,402,1277,0.315,0,9,0.0,221,542,0.408,2016-17
1610612739,Cleveland Cavaliers,1349,2084,0.647,270,704,0.384,589,1395,0.422,192,439,0.437,159,405,0.393,714,1922,0.371,0,7,0.0,351,844,0.416,2016-17
1610612742,Dallas Mavericks,941,1522,0.618,403,897,0.449,746,1858,0.402,91,242,0.376,96,262,0.366,690,1951,0.354,0,17,0.0,187,504,0.371,2016-17
1610612743,Denver Nuggets,1609,2653,0.606,434,969,0.448,464,1207,0.384,95,269,0.353,81,195,0.415,694,1878,0.37,0,19,0.0,176,464,0.379,2016-17
1610612765,Detroit Pistons,1212,1972,0.615,557,1366,0.408,869,2029,0.428,81,206,0.393,68,186,0.366,480,1489,0.322,1,30,0.033,149,392,0.38,2016-17
1610612744,Golden State Warriors,1559,2328,0.67,353,807,0.437,638,1443,0.442,111,258,0.43,114,289,0.394,755,1983,0.381,1,31,0.032,225,547,0.411,2016-17
1610612745,Houston Rockets,1647,2549,0.646,268,718,0.373,209,579,0.361,117,311,0.376,147,372,0.395,914,2602,0.351,0,14,0.0,264,683,0.387,2016-17
1610612754,Indiana Pacers,1206,1979,0.609,511,1142,0.447,795,1925,0.413,114,292,0.39,91,214,0.425,494,1348,0.366,0,18,0.0,205,506,0.405,2016-17
1610612746,LA Clippers,1355,2114,0.641,282,717,0.393,764,1744,0.438,107,246,0.435,92,235,0.391,631,1716,0.368,2,17,0.118,199,481,0.414,2016-17
1610612747,Los Angeles Lakers,1455,2403,0.605,502,1244,0.404,537,1407,0.382,95,253,0.375,87,233,0.373,539,1584,0.34,1,16,0.063,182,486,0.374,2016-17
1610612763,Memphis Grizzlies,1235,2188,0.564,424,1058,0.401,558,1439,0.388,92,218,0.422,83,214,0.388,590,1702,0.347,0,31,0.0,175,432,0.405,2016-17
1610612748,Miami Heat,1363,2233,0.61,488,1162,0.42,543,1429,0.38,142,335,0.424,133,348,0.382,531,1510,0.352,0,13,0.0,275,683,0.403,2016-17
1610612749,Milwaukee Bucks,1602,2566,0.624,392,996,0.394,468,1207,0.388,98,271,0.362,122,297,0.411,493,1352,0.365,0,12,0.0,220,568,0.387,2016-17
1610612750,Minnesota Timberwolves,1437,2300,0.625,435,996,0.437,762,1903,0.4,104,270,0.385,78,199,0.392,419,1242,0.337,0,11,0.0,182,469,0.388,2016-17
1610612740,New Orleans Pelicans,1346,2224,0.605,463,1092,0.424,633,1618,0.391,106,272,0.39,81,224,0.362,579,1684,0.344,0,11,0.0,187,496,0.377,2016-17
1610612752,New York Knicks,1305,2283,0.572,351,873,0.402,884,2078,0.425,106,254,0.417,96,223,0.43,501,1520,0.33,0,23,0.0,202,477,0.423,2016-17
1610612760,Oklahoma City Thunder,1622,2701,0.601,423,979,0.432,500,1371,0.365,92,253,0.364,98,295,0.332,499,1550,0.322,2,19,0.105,190,548,0.347,2016-17
1610612753,Orlando Magic,1245,2065,0.603,486,1164,0.418,707,1764,0.401,63,218,0.289,60,191,0.314,577,1704,0.339,0,24,0.0,123,409,0.301,2016-17
1610612755,Philadelphia 76ers,1465,2405,0.609,353,915,0.386,439,1229,0.357,96,220,0.436,69,186,0.371,660,2015,0.328,0,7,0.0,165,406,0.406,2016-17
1610612756,Phoenix Suns,1477,2433,0.607,469,1114,0.421,709,1859,0.381,88,268,0.328,80,247,0.324,447,1317,0.339,0,20,0.0,168,515,0.326,2016-17
1610612757,Portland Trail Blazers,1333,2311,0.577,404,944,0.428,654,1532,0.427,80,232,0.345,95,234,0.406,675,1787,0.378,0,17,0.0,175,466,0.376,2016-17
1610612758,Sacramento Kings,1302,2120,0.614,462,1136,0.407,604,1518,0.398,95,242,0.393,103,237,0.435,534,1458,0.366,0,16,0.0,198,479,0.413,2016-17
1610612759,San Antonio Spurs,1188,1902,0.625,434,1010,0.43,847,2025,0.418,116,259,0.448,116,281,0.413,521,1373,0.379,0,12,0.0,232,540,0.43,2016-17
1610612761,Toronto Raptors,1262,2056,0.614,532,1198,0.444,692,1667,0.415,116,321,0.361,98,242,0.405,510,1418,0.36,1,12,0.083,214,563,0.38,2016-17
1610612762,Utah Jazz,1350,2160,0.625,403,950,0.424,489,1277,0.383,121,315,0.384,113,296,0.382,556,1502,0.37,1,14,0.071,234,611,0.383,2016-17
1610612764,Washington Wizards,1427,2321,0.615,419,971,0.432,786,1815,0.433,86,255,0.337,98,273,0.359,569,1484,0.383,0,10,0.0,184,528,0.348,2016-17
1610612737,Atlanta Hawks,1346,2214,0.608,347,965,0.36,523,1298,0.403,141,356,0.396,140,304,0.461,633,1856,0.341,0,22,0.0,281,660,0.426,2017-18
1610612738,Boston Celtics,1227,2072,0.592,405,1068,0.379,572,1346,0.425,119,279,0.427,109,275,0.396,709,1917,0.37,0,18,0.0,228,554,0.412,2017-18
1610612751,Brooklyn Nets,1343,2177,0.617,454,1195,0.38,299,823,0.363,118,325,0.363,113,301,0.375,809,2281,0.355,0,12,0.0,231,626,0.369,2017-18
1610612766,Charlotte Hornets,1329,2172,0.612,464,1156,0.401,580,1546,0.375,68,191,0.356,64,171,0.374,692,1849,0.374,0,21,0.0,132,362,0.365,2017-18
1610612741,Chicago Bulls,1252,2114,0.592,460,1166,0.395,552,1458,0.379,96,253,0.379,88,237,0.371,722,2042,0.354,0,15,0.0,184,490,0.376,2017-18
1610612739,Cleveland Cavaliers,1523,2222,0.685,291,788,0.369,518,1309,0.396,147,357,0.412,141,342,0.412,691,1919,0.36,0,13,0.0,288,699,0.412,2017-18
1610612742,Dallas Mavericks,1189,1910,0.623,403,1016,0.397,570,1429,0.399,104,265,0.392,93,204,0.456,769,2198,0.35,0,20,0.0,197,469,0.42,2017-18
1610612743,Denver Nuggets,1489,2349,0.634,520,1263,0.412,390,958,0.407,89,226,0.394,100,220,0.455,750,2060,0.364,0,26,0.0,189,446,0.424,2017-18
1610612765,Detroit Pistons,1316,2125,0.619,470,1326,0.354,536,1309,0.409,100,266,0.376,123,300,0.41,662,1784,0.371,1,19,0.053,223,566,0.394,2017-18
1610612744,Golden State Warriors,1395,2043,0.683,413,920,0.449,776,1650,0.47,87,222,0.392,72,175,0.411,766,1943,0.394,0,26,0.0,159,397,0.401,2017-18
1610612745,Houston Rockets,1418,2207,0.643,251,667,0.376,250,563,0.444,156,385,0.405,168,433,0.388,930,2634,0.353,1,17,0.059,324,818,0.396,2017-18
1610612754,Indiana Pacers,1407,2262,0.622,426,1001,0.426,772,1812,0.426,91,242,0.376,104,216,0.481,545,1529,0.356,0,21,0.0,195,458,0.426,2017-18
1610612746,LA Clippers,1701,2698,0.63,440,1123,0.392,384,988,0.389,97,290,0.334,75,213,0.352,604,1677,0.36,1,15,0.067,172,503,0.342,2017-18
1610612747,Los Angeles Lakers,1694,2657,0.638,432,1146,0.377,392,1065,0.368,85,222,0.383,76,188,0.404,659,1953,0.337,0,17,0.0,161,410,0.393,2017-18
1610612763,Memphis Grizzlies,1386,2321,0.597,349,989,0.353,522,1328,0.393,79,230,0.343,71,197,0.36,606,1697,0.357,0,26,0.0,150,427,0.351,2017-18
1610612748,Miami Heat,1424,2241,0.635,418,1067,0.392,439,1184,0.371,109,300,0.363,149,369,0.404,645,1819,0.355,0,17,0.0,258,669,0.386,2017-18
1610612749,Milwaukee Bucks,1526,2365,0.645,416,1006,0.414,598,1415,0.423,96,244,0.393,126,302,0.417,495,1463,0.338,0,12,0.0,222,546,0.407,2017-18
1610612750,Minnesota Timberwolves,1390,2108,0.659,628,1402,0.448,690,1712,0.403,106,276,0.384,69,165,0.418,482,1388,0.347,0,12,0.0,175,441,0.397,2017-18
1610612740,New Orleans Pelicans,1573,2419,0.65,575,1246,0.461,516,1267,0.407,120,305,0.393,109,271,0.402,607,1719,0.353,0,14,0.0,229,576,0.398,2017-18
1610612752,New York Knicks,1384,2210,0.626,531,1219,0.436,746,1849,0.403,103,239,0.431,56,152,0.368,514,1504,0.342,0,20,0.0,159,391,0.407,2017-18
1610612760,Oklahoma City Thunder,1496,2423,0.617,305,763,0.4,592,1547,0.383,105,283,0.371,124,332,0.373,649,1852,0.35,0,21,0.0,229,615,0.372,2017-18
1610612753,Orlando Magic,1398,2132,0.656,471,1281,0.368,470,1230,0.382,106,278,0.381,58,173,0.335,678,1938,0.35,1,10,0.1,164,451,0.364,2017-18
1610612755,Philadelphia 76ers,1488,2215,0.672,447,1204,0.371,513,1235,0.415,62,180,0.344,92,211,0.436,747,2033,0.367,0,20,0.0,154,391,0.394,2017-18
1610612756,Phoenix Suns,1469,2444,0.601,420,1113,0.377,501,1297,0.386,106,274,0.387,76,230,0.33,581,1767,0.329,0,16,0.0,182,504,0.361,2017-18
1610612757,Portland Trail Blazers,1320,2273,0.581,445,1100,0.405,612,1451,0.422,83,222,0.374,80,202,0.396,682,1880,0.363,0,4,0.0,163,424,0.384,2017-18
1610612758,Sacramento Kings,1218,1969,0.619,566,1465,0.386,660,1670,0.395,93,244,0.381,81,179,0.453,561,1511,0.371,0,25,0.0,174,423,0.411,2017-18
1610612759,San Antonio Spurs,1295,2029,0.638,500,1251,0.4,713,1746,0.408,96,242,0.397,95,233,0.408,503,1482,0.339,0,16,0.0,191,475,0.402,2017-18
1610612761,Toronto Raptors,1542,2374,0.65,452,1079,0.419,423,1016,0.416,144,393,0.366,127,297,0.428,694,1991,0.349,1,19,0.053,271,690,0.393,2017-18
1610612762,Utah Jazz,1411,2190,0.644,408,1086,0.376,434,1098,0.395,152,366,0.415,137,326,0.42,597,1717,0.348,0,14,0.0,289,692,0.418,2017-18
1610612764,Washington Wizards,1239,1940,0.639,494,1172,0.422,728,1737,0.419,75,214,0.35,91,222,0.41,648,1717,0.377,0,16,0.0,166,436,0.381,2017-18
1610612737,Atlanta Hawks,1676,2744,0.611,421,1113,0.378,231,636,0.363,137,367,0.373,179,441,0.406,748,2203,0.34,0,20,0.0,316,808,0.391,2018-19
1610612738,Boston Celtics,1371,2129,0.644,465,1089,0.427,583,1378,0.423,123,294,0.418,87,308,0.282,822,2218,0.371,0,7,0.0,210,602,0.349,2018-19
1610612751,Brooklyn Nets,1548,2528,0.612,451,1200,0.376,261,672,0.388,109,283,0.385,109,304,0.359,822,2357,0.349,1,14,0.071,218,587,0.371,2018-19
1610612766,Charlotte Hornets,1440,2424,0.594,478,1169,0.409,402,989,0.406,114,311,0.367,118,260,0.454,743,2172,0.342,2,37,0.054,232,571,0.406,2018-19
1610612741,Chicago Bulls,1503,2503,0.6,579,1394,0.415,441,1190,0.371,111,285,0.389,84,201,0.418,548,1618,0.339,0,14,0.0,195,486,0.401,2018-19
1610612739,Cleveland Cavaliers,1322,2214,0.597,502,1303,0.385,519,1281,0.405,118,296,0.399,73,228,0.32,655,1851,0.354,0,11,0.0,191,524,0.365,2018-19
1610612742,Dallas Mavericks,1405,2163,0.65,421,1078,0.391,334,882,0.379,116,294,0.395,119,317,0.375,786,2362,0.333,1,26,0.038,235,611,0.385,2018-19
1610612743,Denver Nuggets,1504,2377,0.633,634,1463,0.433,404,983,0.411,111,288,0.385,95,231,0.411,690,2025,0.341,1,17,0.059,206,519,0.397,2018-19
1610612765,Detroit Pistons,1387,2284,0.607,451,1219,0.37,355,883,0.402,157,410,0.383,132,349,0.378,703,2064,0.341,0,29,0.0,289,759,0.381,2018-19
1610612744,Golden State Warriors,1381,2038,0.678,392,896,0.438,752,1604,0.469,135,314,0.43,113,269,0.42,837,2221,0.377,2,19,0.105,248,583,0.425,2018-19
1610612745,Houston Rockets,1381,2166,0.638,345,885,0.39,171,396,0.432,142,384,0.37,203,551,0.368,975,2773,0.352,1,8,0.125,345,935,0.369,2018-19
1610612754,Indiana Pacers,1552,2489,0.624,451,1058,0.426,609,1510,0.403,124,286,0.434,92,218,0.422,561,1564,0.359,1,10,0.1,216,504,0.429,2018-19
1610612746,LA Clippers,1543,2548,0.606,558,1363,0.409,464,1156,0.401,107,269,0.398,86,199,0.432,626,1627,0.385,0,16,0.0,193,468,0.412,2018-19
1610612747,Los Angeles Lakers,1899,2938,0.646,381,1034,0.368,364,915,0.398,97,285,0.34,100,281,0.356,650,1961,0.331,0,11,0.0,197,566,0.348,2018-19
1610612763,Memphis Grizzlies,1340,2166,0.619,560,1369,0.409,403,1021,0.395,111,298,0.372,96,278,0.345,603,1778,0.339,0,14,0.0,207,576,0.359,2018-19
1610612748,Miami Heat,1499,2395,0.626,507,1271,0.399,317,898,0.353,170,405,0.42,104,323,0.322,653,1910,0.342,1,16,0.063,274,728,0.376,2018-19
1610612749,Milwaukee Bucks,1850,2793,0.662,335,861,0.389,265,686,0.386,115,309,0.372,127,325,0.391,863,2489,0.347,0,8,0.0,242,634,0.382,2018-19
1610612750,Minnesota Timberwolves,1515,2410,0.629,515,1310,0.393,561,1414,0.397,109,280,0.389,98,260,0.377,615,1794,0.343,0,15,0.0,207,540,0.383,2018-19
1610612740,New Orleans Pelicans,1762,2723,0.647,625,1441,0.434,358,958,0.374,104,274,0.38,82,257,0.319,650,1898,0.342,0,12,0.0,186,531,0.35,2018-19
