,,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt,Corner 3,Corner 3,Corner 3,SEASON
TEAM_ID,TEAM_NAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,
1610612750,Minnesota Timberwolves,1093,1826,0.599,254,752,0.338,535,1433,0.373,76,216,0.352,58,154,0.377,339,1043,0.325,0,9,0.0,134,370,0.362,2011-12
1610612751,New Jersey Nets,847,1538,0.551,258,635,0.406,650,1666,0.39,75,230,0.326,65,186,0.349,366,1057,0.346,1,8,0.125,140,416,0.337,2011-12
1610612740,New Orleans Hornets,943,1613,0.585,384,923,0.416,714,1790,0.399,37,103,0.359,42,111,0.378,180,559,0.322,0,4,0.0,79,214,0.369,2011-12
1610612752,New York Knicks,1148,1858,0.618,187,586,0.319,513,1353,0.379,66,199,0.332,67,183,0.366,384,1144,0.336,0,12,0.0,133,382,0.348,2011-12
1610612760,Oklahoma City Thunder,1100,1717,0.641,282,738,0.382,608,1455,0.418,47,121,0.388,57,134,0.425,368,1055,0.349,0,9,0.0,104,255,0.408,2011-12
1610612753,Orlando Magic,1002,1666,0.601,231,613,0.377,372,1098,0.339,85,219,0.388,80,181,0.442,505,1377,0.367,0,8,0.0,165,400,0.413,2011-12
1610612755,Philadelphia 76ers,896,1488,0.602,387,969,0.399,839,2095,0.4,33,107,0.308,34,97,0.351,282,755,0.374,0,5,0.0,67,204,0.328,2011-12
1610612756,Phoenix Suns,990,1548,0.64,344,830,0.414,717,1772,0.405,54,157,0.344,58,161,0.36,332,966,0.344,0,11,0.0,112,318,0.352,2011-12
1610612757,Portland Trail Blazers,1028,1763,0.583,257,654,0.393,639,1618,0.395,92,234,0.393,78,197,0.396,308,936,0.329,0,15,0.0,170,431,0.394,2011-12
1610612758,Sacramento Kings,1259,2107,0.598,340,961,0.354,480,1343,0.357,58,172,0.337,66,189,0.349,286,928,0.308,1,12,0.083,124,361,0.343,2011-12
1610612759,San Antonio Spurs,1107,1729,0.64,386,937,0.412,566,1392,0.407,96,234,0.41,94,219,0.429,362,946,0.383,0,6,0.0,190,453,0.419,2011-12
1610612761,Toronto Raptors,955,1568,0.609,267,662,0.403,681,1849,0.368,48,125,0.384,43,140,0.307,274,798,0.343,0,12,0.0,91,265,0.343,2011-12
1610612762,Utah Jazz,1219,1924,0.634,424,1053,0.403,607,1709,0.355,31,89,0.348,24,79,0.304,218,665,0.328,0,12,0.0,55,168,0.327,2011-12
1610612764,Washington Wizards,1130,1811,0.624,290,844,0.344,650,1745,0.372,68,161,0.422,62,165,0.376,211,740,0.285,1,6,0.167,130,326,0.399,2011-12
1610612737,Atlanta Hawks,1346,2057,0.654,343,921,0.372,689,1765,0.39,115,270,0.426,104,251,0.414,487,1368,0.356,0,12,0.0,219,521,0.42,2012-13
1610612738,Boston Celtics,1215,2035,0.597,326,839,0.389,961,2194,0.438,90,243,0.37,105,239,0.439,304,886,0.343,0,22,0.0,195,482,0.405,2012-13
1610612751,Brooklyn Nets,1208,2053,0.588,490,1177,0.416,616,1554,0.396,142,354,0.401,108,275,0.393,378,1116,0.339,0,12,0.0,250,629,0.397,2012-13
1610612766,Charlotte Bobcats,1278,2312,0.553,305,910,0.335,771,2028,0.38,57,143,0.399,60,151,0.397,352,1090,0.323,0,15,0.0,117,294,0.398,2012-13
1610612741,Chicago Bulls,1338,2257,0.593,295,871,0.339,847,2305,0.367,62,163,0.38,43,130,0.331,341,961,0.355,0,11,0.0,105,293,0.358,2012-13
1610612739,Cleveland Cavaliers,1238,2211,0.56,393,1083,0.363,815,2026,0.402,63,187,0.337,56,160,0.35,427,1222,0.349,1,12,0.083,119,347,0.343,2012-13
1610612742,Dallas Mavericks,1136,1866,0.609,525,1230,0.427,914,2167,0.422,73,224,0.326,68,162,0.42,466,1225,0.38,0,18,0.0,141,386,0.365,2012-13
1610612743,Denver Nuggets,2016,3194,0.631,364,1022,0.356,438,1249,0.351,109,283,0.385,78,250,0.312,334,962,0.347,0,21,0.0,187,533,0.351,2012-13
1610612765,Detroit Pistons,1565,2670,0.586,343,962,0.357,557,1565,0.356,82,216,0.38,64,187,0.342,368,1022,0.36,0,16,0.0,146,403,0.362,2012-13
1610612744,Golden State Warriors,1139,1880,0.606,433,1140,0.38,900,2188,0.411,83,193,0.43,91,187,0.487,483,1231,0.392,1,21,0.048,174,380,0.458,2012-13
1610612745,Houston Rockets,1617,2628,0.615,278,795,0.35,362,990,0.366,136,342,0.398,138,354,0.39,591,1661,0.356,2,11,0.182,274,696,0.394,2012-13
1610612754,Indiana Pacers,1189,2014,0.59,426,1106,0.385,675,1806,0.374,67,197,0.34,84,216,0.389,404,1162,0.348,0,23,0.0,151,413,0.366,2012-13
1610612746,Los Angeles Clippers,1444,2195,0.658,398,928,0.429,691,1733,0.399,111,306,0.363,120,295,0.407,396,1140,0.347,0,9,0.0,231,601,0.384,2012-13
1610612747,Los Angeles Lakers,1350,2159,0.625,373,973,0.383,603,1491,0.404,104,289,0.36,96,258,0.372,511,1443,0.354,0,19,0.0,200,547,0.366,2012-13
1610612763,Memphis Grizzlies,1277,2278,0.561,488,1242,0.393,817,2052,0.398,61,163,0.374,69,165,0.418,252,767,0.329,0,12,0.0,130,328,0.396,2012-13
1610612748,Miami Heat,1392,2042,0.682,309,760,0.407,730,1737,0.42,147,341,0.431,162,376,0.431,408,1084,0.376,0,6,0.0,309,717,0.431,2012-13
1610612749,Milwaukee Bucks,1432,2530,0.566,321,942,0.341,774,2054,0.377,69,204,0.338,86,207,0.415,446,1250,0.357,0,9,0.0,155,411,0.377,2012-13
